Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Пакеты для конференции,4531,296,Товары для дома,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2008-06-01,2025-03-17,4.4,Temporarily Unavailable
2,Каша из дробленной поленты,5887,570,Бакалея,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2018-03-01,2022-09-01,1.88,Cancelled
3,Парфюм,4760,378,Товары для дома,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2022-05-24,2027-03-03,4.28,Pending
4,Колбаса копченая,2306,84,Мясо,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2015-05-13,2030-10-03,4.44,Awaiting Review
5,Лопатка,8167,94,Мясо,Подходит для использования в диетических программах для похудения.,1999-01-02,2030-06-15,3.42,In Stock
6,Картофель,494,351,Овощи,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",1999-04-01,2029-08-18,0.53,On Backorder
7,Шумовки,2649,705,Товары для дома,Отличается хорошей совместимостью с другими продуктами питания.,1995-03-03,2018-01-05,1.57,Sold
8,Тефтели,2365,481,Мясо,Способствует улучшению работы пищеварительной системы.,1998-06-03,2023-03-04,2.35,Backorder
9,Масло оливковое,8499,649,Бакалея,"Подходит для приготовления как горячих, так и холодных блюд.",2016-03-01,2018-04-10,1.83,Awaiting Review
10,Черника,4870,541,Фрукты,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2020-01-08,2024-01-03,3.15,Out of Stock
11,Мука ржаная,3553,95,Бакалея,Отличается хорошим сочетанием с различными специями и приправами.,2018-04-13,2021-02-04,0.18,In Stock
12,Яблоко,3167,527,Фрукты,Способствует нормализации обмена веществ в организме.,1997-07-09,2014-01-04,0.17,Cancelled
13,Курт,194,56,Молочные продукты,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2000-07-10,2004-03-03,4.37,On Backorder
14,Тыквенные семечки,1273,718,Бакалея,Помогает укрепить иммунную систему и защитить организм от инфекций.,2017-01-15,2024-02-03,0.49,Temporarily Unavailable
15,Сергиево-Посадская,930,669,Напитки,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",1990-03-24,2014-06-14,1.16,Backorder
16,Каша из дробленной гречки,2181,132,Бакалея,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2006-02-02,2021-02-05,2.49,Cancelled
17,Гранат,3995,162,Фрукты,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2000-04-03,2010-04-04,1.82,Sold
18,Тан,8603,86,Молочные продукты,Отличается низкой калорийностью и высоким содержанием белка.,1996-06-16,2009-02-15,0.88,In Stock
19,Котлеты,2620,125,Мясо,Служит основой для создания множества кулинарных шедевров.,2020-02-01,2028-09-05,4.7,New
20,Капуста белокочанная,2530,862,Овощи,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2019-08-07,2021-01-21,2.76,Cancelled
21,Кабачок,897,488,Овощи,Может использоваться в вегетарианской диете как источник белка.,2006-05-03,2027-02-01,3.16,Awaiting Review
22,"Специи (перец, куркума, зира)",8927,854,Бакалея,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2018-08-01,2019-10-01,3.12,Awaiting Review
23,Глинтвейн,3538,26,Напитки,Подходит для людей с чувствительным пищеварением.,2015-12-16,2017-06-01,0.71,Temporarily Unavailable
24,Репа,8541,628,Овощи,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2018-02-17,2028-05-04,3.85,In Stock
25,Масло сливочное,843,317,Молочные продукты,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",1992-03-09,2015-05-19,2.06,Awaiting Payment
26,Пакеты для Хэллоуина,4311,748,Товары для дома,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2004-02-05,2021-11-07,3.48,Returned
27,Гранат,5944,742,Фрукты,Прошел проверку на соответствие экологическим нормам и стандартам.,2017-01-01,2030-01-03,3.57,In Stock
28,Роллы с мясом,430,798,Мясо,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",1993-02-06,2006-06-08,1.31,Awaiting Review
29,Помидор,4284,43,Овощи,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2009-03-13,2014-06-01,1.52,Shipping
30,Айран,4760,135,Молочные продукты,Идеален для перекусов между основными приемами пищи.,2009-01-17,2013-05-03,2.0,In Stock
31,Гауда,3186,518,Молочные продукты,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2005-04-03,2013-03-07,3.16,Shipping
32,Пастернак,4701,41,Овощи,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",1991-01-06,1998-01-02,4.38,Available for Pickup
33,Подносы,5161,638,Товары для дома,Отличается стабильностью вкуса и качества в течение всего срока хранения.,1996-04-03,2008-06-21,2.01,Sold
34,Наволочки,7374,729,Товары для дома,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,1999-05-01,2027-02-03,3.56,Shipping
35,Пармезан,4844,764,Молочные продукты,"Является источником антиоксидантов, замедляющих процессы старения.",2003-06-02,2009-10-16,3.0,Shipping
36,Байкал,6402,188,Напитки,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,1998-08-12,2005-04-02,0.57,Temporarily Unavailable
37,Антрекот,3900,343,Мясо,Отличается простотой в использовании и хранении.,2003-02-01,2030-03-09,3.87,On Backorder
38,Рис,4759,759,Бакалея,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",2005-01-10,2027-09-10,3.73,Temporarily Unavailable
39,Куриные голени,5755,484,Мясо,Помогает нормализовать артериальное давление и уровень холестерина.,2017-02-02,2022-07-01,3.1,Awaiting Review
40,Айран,7093,712,Молочные продукты,Помогает поддерживать здоровый цвет лица и упругость кожи.,2021-04-02,2028-02-02,2.97,Shipping
41,Омская,7858,193,Напитки,"Является источником важных микроэлементов, таких как магний и калий.",1998-07-16,2027-03-03,4.59,Awaiting Payment
42,Повидло,1025,695,Бакалея,Может использоваться в косметических процедурах для увлажнения кожи.,1996-01-26,2006-07-11,1.92,Delivered
43,Мортаделла,1172,151,Мясо,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2009-03-07,2014-09-05,3.51,Cancelled
44,Каша из кукурузной муки,1121,412,Бакалея,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",1994-07-09,1995-03-02,1.33,Awaiting Review
45,Киви,6346,372,Фрукты,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2001-03-03,2008-12-02,3.9,Pending
46,Каша из киноа,1512,939,Бакалея,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,1991-03-02,2014-05-09,1.84,On Backorder
47,Грейпфрут,2888,927,Фрукты,Является важным элементом спортивного питания для восстановления после тренировок.,2007-01-02,2015-06-17,4.43,Available for Pickup
48,Пакеты для Дня космонавтики,6505,250,Товары для дома,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2009-01-06,2024-08-07,2.59,Backorder
49,Турнепс,5015,89,Овощи,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2002-01-16,2024-05-01,4.15,On Backorder
50,Пакеты для запекания,3990,876,Товары для дома,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",1997-01-04,2020-01-01,1.12,Sold
51,Инжир,7661,519,Фрукты,Отличается хорошим сочетанием с различными специями и приправами.,1990-03-02,2003-05-04,4.99,Refunded
52,Виноград,591,940,Фрукты,Может использоваться в вегетарианской диете как источник белка.,1990-06-02,2026-01-08,4.35,Shipping
53,Топинамбур,5299,738,Овощи,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2013-01-02,2027-06-09,0.09,Refunded
54,Сервелат,1481,58,Мясо,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",1997-02-12,2029-06-05,3.81,In Stock
55,Пакеты для Рождества,5711,40,Товары для дома,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",1991-07-08,2024-06-01,4.96,Shipping
56,Пакеты для театра,9241,542,Товары для дома,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2010-08-06,2020-01-01,1.74,Awaiting Payment
