product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Банан,1519,572,Фрукты,"Является источником важных микроэлементов, таких как магний и калий.",2006-08-03,2020-05-18,0.11,Temporarily Unavailable
2,Фета,9559,970,Молочные продукты,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",1993-01-03,2019-01-19,0.55,Out of Stock
3,Гранат,4465,339,Фрукты,Помогает поддерживать нормальный уровень кислотности желудка.,2010-01-04,2011-01-02,1.57,On Backorder
4,Панчетта,7204,873,Мясо,Помогает улучшить работу мозга и повысить концентрацию внимания.,2015-01-04,2023-02-02,3.18,Backorder
5,Каймак,7580,686,Молочные продукты,Помогает поддерживать нормальный уровень холестерина в крови.,2008-03-13,2021-09-16,4.76,Backorder
6,Консервный нож,2715,297,Товары для дома,Отличается высокими показателями усвояемости организмом.,2009-07-02,2020-03-04,3.25,Shipping
7,Боржоми,2033,960,Напитки,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1995-01-10,2030-01-02,4.31,Cancelled
8,Кольраби,9524,547,Овощи,Помогает поддерживать нормальный обмен веществ и метаболизм.,2014-07-03,2018-03-01,4.01,Awaiting Payment
9,Кабачок,5545,166,Овощи,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2019-01-10,2028-09-14,3.78,Awaiting Payment
10,Каша из дробленой ячменя,7037,99,Бакалея,Отличается низкой калорийностью и высоким содержанием белка.,2020-04-01,2022-05-19,4.41,Sold
11,Сковороды,7731,580,Товары для дома,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",1996-09-14,2015-01-04,2.3,On Backorder
12,Свекла,4807,10,Овощи,"Подходит для использования в диетах, направленных на снижение веса.",1995-01-11,2014-01-05,1.57,Available for Pickup
13,Ананас,4677,684,Фрукты,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2015-01-18,2020-05-01,0.19,Awaiting Payment
14,Сметана,9083,685,Молочные продукты,Подходит для людей с чувствительным пищеварением.,2014-01-05,2025-11-03,2.59,Backorder
